OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1882,1,1882,553100,5531,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,BELLFLOWER,,INCORPORATED CITY,10,Gateway Planning Area,2989930.59,8380.162609
1883,1,1883,553201,5532.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,BELLFLOWER,,INCORPORATED CITY,10,Gateway Planning Area,1509301.504,5753.386394
1884,1,1884,553202,5532.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,BELLFLOWER,,INCORPORATED CITY,10,Gateway Planning Area,1287011.043,4725.599275
1885,1,1885,553300,5533,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,BELLFLOWER,,INCORPORATED CITY,10,Gateway Planning Area,1223731.09,5233.29025
1886,1,1886,553400,5534,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,DOWNEY,,INCORPORATED CITY,10,Gateway Planning Area,1067214.355,4325.424608
1887,1,1887,553502,5535.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,10,Gateway Planning Area,1841726.488,5676.898935
1888,1,1888,553503,5535.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,10,Gateway Planning Area,616125.1719,3514.910232
1889,1,1889,553504,5535.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,10,Gateway Planning Area,928740.1797,5069.755166
1890,1,1890,553601,5536.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,10,Gateway Planning Area,3165797.93,10361.28605
1891,1,1891,553602,5536.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,10,Gateway Planning Area,878418.875,4064.065737
1892,2,1892,553701,5537.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,9,Gateway Planning Area,1594985.012,6933.505747
1893,2,1893,553702,5537.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,9,Gateway Planning Area,1353124.254,7007.193379
1894,1,1894,553801,5538.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,10,Gateway Planning Area,1883982.773,5824.651274
1895,2,1895,553802,5538.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,PARAMOUNT,,INCORPORATED CITY,9,Gateway Planning Area,2569464.43,8984.559498
